Epizod sinovi (48/48) - 2026-09-05/06, build 9d735b9..cb14a03
=== EP001 : OK (120 s) ===
=== EP002 : OK (100 s) ===
=== EP003 : OK (110 s) ===
=== EP004 : OK (65 s) ===
=== EP005 : OK (200 s) ===
=== EP006 : OK (251 s) ===
=== EP007 : OK (95 s) ===
=== EP008 : OK (216 s) ===
=== EP009 : OK (200 s) ===
=== EP010 : OK (75 s) ===
=== EP011 : OK (191 s) ===
=== EP012 : OK (180 s) ===
=== EP013 : OK (201 s) ===
=== EP014 : OK (161 s) ===
=== EP015 : OK (160 s) ===
=== EP016 : OK (170 s) ===
=== EP017 : OK (135 s) ===
=== EP018 : OK (256 s) ===
=== EP019 : OK (80 s) ===
=== EP020 : OK (165 s) ===
=== EP021 : OK (180 s) ===
=== EP022 : OK (220 s) ===
=== EP023 : OK (150 s) ===
=== EP024 : OK (170 s) ===
=== EP025 : OK (241 s) ===
=== EP026 : OK (236 s) ===
=== EP027 : OK (115 s) ===
=== EP028 : OK (181 s) ===
=== EP029 : OK (171 s) ===
=== EP030 : OK (206 s) ===
=== EP031 : OK (110 s) ===
=== EP032 : OK (185 s) ===
=== EP033 : OK (161 s) ===
=== EP034 : OK (181 s) ===
=== EP035 : OK (221 s) ===
=== EP036 : OK (176 s) ===
=== EP037 : OK (120 s) ===
=== EP038 : OK (216 s) ===
=== EP039 : OK (111 s) ===
=== EP040 : OK (191 s) ===
=== EP041 : OK (165 s) ===
=== EP042 : OK (196 s) ===
=== EP043 : OK (216 s) ===
=== EP044 : OK (256 s) ===
=== EP045 : OK (130 s) ===
=== EP046 : OK (125 s) ===
=== EP047 : OK (185 s) ===
=== EP048 : OK (120 s) ===
